1;5;"Spanish";"estrella / étoile"
2;5;"Spanish";"luna llena / pleine lune"
3;5;"Spanish";"cuarto menguante / dernier quartier"
4;5;"Spanish";"sol / soleil"
5;5;"Spanish";"calor / chaud"
6;5;"Spanish";"tiempo bochornoso / il fait lourd"
7;5;"Spanish";"sombra / ombre"
8;5;"Spanish";"tiempo atmosférico / temps atmosphérique"
9;5;"Spanish";"viento / vent"
10;5;"Spanish";"viento del Norte / vent du nord"
11;5;"Spanish";"viento del Sur / vent du sud"
12;5;"Spanish";"remolino (de viento) / tourbillon (d'air)"
13;5;"Spanish";"abrigo del viento (al) / abri (à l'abri du vent)"
14;5;"Spanish";"abrigo de la lluvia (al) / abri (à l'abri de la pluie)"
15;5;"Spanish";"nube / nuage"
16;5;"Spanish";"niebla / brouillard"
17;5;"Spanish";"bruma matinal / brume matinale"
18;5;"Spanish";"oscurecerse el tiempo / obscurcir (s')"
19;5;"Spanish";"lluvia / pluie"
20;5;"Spanish";"llover / pleuvoir"
21;5;"Spanish";"tempestad / tempête"
22;5;"Spanish";"chaparrón / averse"
23;5;"Spanish";"llovizna / bruine"
24;5;"Spanish";"trueno / tonnerre"
25;5;"Spanish";"relámpago / éclair"
26;5;"Spanish";"rayo / foudre"
27;5;"Spanish";"tormenta / orage"
28;5;"Spanish";"arco iris / arc-en-ciel"
29;5;"Spanish";"charco / flaque"
30;5;"Spanish";"mojarse / mouiller"
31;5;"Spanish";"desprendimiento de tierra / éboulement"
32;5;"Spanish";"escampada / éclaircie"
33;5;"Spanish";"sequía / sécheresse"
34;5;"Spanish";"agotarse, secarse / tarir"
35;5;"Spanish";"pedrisco / grêle"
36;5;"Spanish";"granizo / grésil"
37;5;"Spanish";"devastar / ravager, abîmer"
38;5;"Spanish";"rocío / rosée"
39;5;"Spanish";"frío / froid"
40;5;"Spanish";"friolero / frileux"
41;5;"Spanish";"helada / gelée blanche"
42;5;"Spanish";"helada fuerte / gelée noire"
43;5;"Spanish";"nieve / neige"
44;5;"Spanish";"copo de nieve / flocon"
